Gênero,Idade,Ocupação,escolaridade,consumo_café,forma_preferida_consumo,conhecimento_avançado,qnt_xícaras,local_consumo,tipo_varejo,grau_aroma,grau_sabor,grau_cor,grau_suavidade,grau_doçura,café_por_habito,café_pelo_gosto_aroma,café_status,café_por_prazer,café_para_relaxar,café_para_disposição,café_nos_intervalos,café_para_interagir,café_fumar,importância_orgânico,importância_sustentavel,importância_FairTrade,atributos_compra_Marca,atributos_compra_Qualidade,atributos_compra_Preço,atributos_compra_Propaganda,atributos_compra_Embalagem,atributos_compra_Local_consumo,atributos_compra_selo_quali,atributos_compra_origem,periodos_consumo_manhã,periodos_consumo_tarde,periodos_consumo_antes_almoço,periodos_consumo_depois_almoço,periodos_consumo_noite
Masculino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Café com leite,Não,1,Em casa,Varejo comum,Moderadamente forte,Neutro,Neutro,Moderadamente forte,Moderadamente forte,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,True,True,True,False,False,True,False,False,True,False,False,False,False
Masculino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Café com leite,Não,1,Em casa,Varejo comum,Muito forte,Muito forte,Muito forte,Muito forte,Muito forte,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,True,True,True,True,False,True,False,False,True,False,False,False,False
Feminino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Coado/ filtrado,Não,3,Em casa,Varejo comum,Moderadamente forte,Muito forte,Muito forte,Neutro,Moderadamente forte,5.0,5.0,3.0,5.0,5.0,4.0,1.0,4.0,1.0,2.0,4.0,3.0,True,True,True,False,False,False,False,False,True,True,False,False,False
Masculino,Entre 18 e 24,Estagiário(a),Superior Incompleto,Sim,Coado/ filtrado,Não,4,Em casa,Varejo comum,Neutro,Moderadamente forte,Neutro,Neutro,Moderadamente fraco,1.0,1.0,3.0,1.0,1.0,1.0,5.0,2.0,5.0,5.0,5.0,5.0,True,True,False,False,True,True,False,False,True,True,True,False,True
Masculino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Café com leite,Não,1,Em casa,Varejo comum,Moderadamente fraco,Moderadamente fraco,Moderadamente fraco,Moderadamente fraco,Moderadamente fraco,3.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,3.0,2.0,2.0,True,True,True,False,False,False,False,True,True,False,False,False,False
Masculino,Entre 18 e 24,Estagiário(a),Superior Incompleto,Sim,Cappuccino,Não,1,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Moderadamente forte,Neutro,Moderadamente fraco,1.0,5.0,5.0,3.0,5.0,1.0,2.0,2.0,5.0,4.0,2.0,3.0,False,False,True,False,True,False,False,False,True,True,False,True,False
Masculino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Coado/ filtrado,Não,1,Em casa,Varejo comum,Neutro,Moderadamente forte,Moderadamente fraco,Moderadamente fraco,Moderadamente fraco,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,False,False,True,False,False,False,False,False,True,False,False,False,False
Feminino,Entre 25 e 30,Autônomo(a),Superior Completo,Sim,Coado/ filtrado,Não,1,No trabalho,Varejo comum,Moderadamente forte,Neutro,Neutro,Moderadamente forte,Muito fraco,4.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,3.0,True,True,True,False,True,False,False,False,True,False,False,True,False
Feminino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Coado/ filtrado,Não,3,Em casa,Varejo comum,Moderadamente forte,Neutro,Neutro,Moderadamente fraco,Moderadamente forte,1.0,1.0,3.0,3.0,5.0,1.0,2.0,5.0,5.0,3.0,2.0,2.0,True,True,True,False,False,False,False,False,True,True,False,False,False
Feminino,Entre 25 e 30,Autônomo(a),Superior Completo,Sim,Cappuccino,Não,2,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Moderadamente forte,Neutro,Neutro,1.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,True,False,False,False,False,False,False,False,True,False,False,False,False
Masculino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Expresso,Não,4,Em casa,Varejo comum,Moderadamente forte,Muito forte,Moderadamente forte,Moderadamente fraco,Moderadamente forte,1.0,2.0,4.0,2.0,5.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,True,False,True,False,False,True,False,False,True,True,False,True,False
Feminino,Entre 31 e 40,Autônomo(a),2º grau completo,Sim,Coado/ filtrado,Não,3,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Moderadamente forte,Neutro,Neutro,2.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,True,False,False,False,False,False,False,False,True,True,False,False,True
Masculino,Entre 25 e 30,Estagiário(a),Superior Incompleto,Sim,Coado/ filtrado,Não,4,No trabalho,Varejo comum,Muito forte,Muito forte,Moderadamente forte,Neutro,Moderadamente fraco,1.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,5.0,4.0,2.0,2.0,False,True,True,False,True,False,False,True,True,True,True,True,False
Feminino,Entre 41 e 50,Outra,2º grau completo,Sim,Café com leite,Sim,3,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Moderadamente forte,Neutro,Moderadamente forte,4.0,4.0,5.0,1.0,1.0,3.0,2.0,1.0,5.0,4.0,3.0,1.0,False,True,True,False,False,False,False,False,True,True,False,False,False
Feminino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Café com leite,Não,1,Em casa,Varejo comum,Muito forte,Muito forte,Muito forte,Moderadamente forte,Moderadamente fraco,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,3.0,True,True,True,False,False,False,False,False,False,True,False,False,False
Masculino,Entre 18 e 24,Estagiário(a),Superior Incompleto,Sim,Cappuccino,Não,Mais de 5,No trabalho,Varejo comum,Moderadamente forte,Moderadamente forte,Neutro,Moderadamente fraco,Moderadamente forte,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,True,True,True,False,True,True,False,False,True,True,False,False,False
Masculino,Entre 31 e 40,Funcionário(a) de empresa privada,Superior Completo,Sim,Coado/ filtrado,Não,2,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Moderadamente forte,Neutro,Neutro,1.0,1.0,4.0,1.0,1.0,3.0,1.0,4.0,5.0,2.0,2.0,2.0,False,True,False,False,False,True,True,True,True,True,False,False,False
Feminino,Entre 18 e 24,Estagiário(a),Superior Incompleto,Sim,Café com leite,Não,1,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Neutro,Moderadamente forte,Moderadamente forte,4.0,1.0,5.0,2.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,True,True,True,False,False,False,False,False,True,False,False,False,False
Feminino,Entre 25 e 30,Funcionário(a) de empresa privada,Superior Incompleto,Sim,Coado/ filtrado,Não,1,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Moderadamente forte,Neutro,Moderadamente fraco,5.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,True,True,True,False,True,False,False,False,True,False,False,False,False
Masculino,Entre 18 e 24,Estagiário(a),Superior Incompleto,Sim,Coado/ filtrado,Não,1,Em casa,Varejo especializado,Muito forte,Muito forte,Muito forte,Neutro,Muito fraco,4.0,2.0,4.0,1.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,True,True,True,False,True,False,False,False,True,False,False,True,False
Feminino,Entre 31 e 40,Trabalho exclusivamente com afazeres domésticos,Superior Completo,Sim,Coado/ filtrado,Não,2,Em casa,Varejo comum,Moderadamente fraco,Moderadamente fraco,Moderadamente fraco,Moderadamente fraco,Moderadamente fraco,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,True,True,True,False,False,False,False,False,True,False,False,False,False
Feminino,Entre 18 e 24,Estudante,Outra,Sim,Café com leite,Não,3,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Muito forte,Neutro,Muito forte,1.0,5.0,5.0,3.0,5.0,1.0,5.0,4.0,5.0,4.0,3.0,2.0,True,True,True,False,False,False,False,False,True,False,False,False,False
Masculino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Solúvel,Não,3,Em casa,Varejo comum,Moderadamente forte,Muito forte,Neutro,Moderadamente fraco,Muito fraco,4.0,2.0,4.0,1.0,4.0,1.0,2.0,5.0,5.0,3.0,3.0,3.0,True,True,True,False,False,False,False,False,True,False,False,True,False
Masculino,Entre 31 e 40,Funcionário(a) de empresa privada,Superior Completo,Sim,Coado/ filtrado,Não,2,Em casa,Varejo comum,Moderadamente fraco,Moderadamente fraco,Neutro,Moderadamente fraco,Moderadamente fraco,2.0,2.0,5.0,1.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,True,True,True,False,False,False,False,False,True,True,False,False,False
Feminino,Entre 18 e 24,Estudante,2º grau incompleto,Sim,Coado/ filtrado,Não,1,Em redes de cafeteria (e.g Starbucks),Varejo comum,Muito forte,Muito forte,Muito forte,Moderadamente fraco,Moderadamente forte,2.0,1.0,5.0,2.0,2.0,4.0,1.0,5.0,5.0,3.0,2.0,3.0,True,True,True,False,False,True,False,False,False,False,False,False,True
Feminino,Entre 18 e 24,Estagiário(a),Superior Incompleto,Sim,Coado/ filtrado,Não,2,Em casa,Varejo comum,Muito forte,Muito forte,Moderadamente forte,Neutro,Moderadamente fraco,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,True,False,True,False,False,False,False,False,True,False,False,True,False
Feminino,Entre 18 e 24,Estagiário(a),Superior Incompleto,Sim,Coado/ filtrado,Não,1,No trabalho,Varejo comum,Moderadamente forte,Moderadamente forte,Muito forte,Moderadamente forte,Moderadamente forte,1.0,3.0,5.0,2.0,5.0,1.0,2.0,5.0,5.0,4.0,4.0,5.0,False,True,True,False,True,True,False,False,True,False,False,True,False
Masculino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Coado/ filtrado,Não,3,Em casa,Varejo comum,Neutro,Neutro,Moderadamente fraco,Moderadamente forte,Muito fraco,2.0,2.0,3.0,4.0,3.0,2.0,1.0,5.0,5.0,2.0,2.0,3.0,True,True,True,True,True,False,True,True,True,True,False,True,False
Feminino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Café de Capsula,Não,1,Em casa,Varejo especializado,Neutro,Muito forte,Muito fraco,Moderadamente fraco,Moderadamente forte,2.0,2.0,5.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,True,True,True,False,False,False,False,False,False,False,False,True,False
Feminino,Entre 18 e 24,Estagiário(a),Superior Incompleto,Sim,Coado/ filtrado,Não,4,No trabalho,Varejo comum,Moderadamente forte,Muito forte,Neutro,Neutro,Muito fraco,1.0,1.0,5.0,1.0,2.0,5.0,1.0,5.0,1.0,5.0,5.0,5.0,False,True,False,False,True,True,False,False,True,False,False,True,False
Masculino,Entre 18 e 24,Estagiário(a),Superior Incompleto,Sim,Café de Capsula,Não,4,No trabalho,Varejo comum,Muito forte,Muito forte,Muito forte,Muito forte,Moderadamente fraco,5.0,3.0,5.0,5.0,5.0,1.0,1.0,2.0,5.0,3.0,3.0,3.0,True,True,True,False,False,False,False,False,True,True,True,True,False
Feminino,Entre 18 e 24,Estagiário(a),2º grau completo,Sim,Coado/ filtrado,Não,3,No trabalho,Varejo comum,Moderadamente forte,Moderadamente forte,Muito forte,Muito fraco,Moderadamente forte,1.0,2.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,3.0,3.0,3.0,True,True,False,False,False,False,False,False,True,True,False,False,False
Feminino,Entre 41 e 50,Funcionário(a) de empresa privada,Superior Completo,Sim,Café com leite,Não,2,No trabalho,Varejo comum,Moderadamente fraco,Neutro,Neutro,Neutro,Moderadamente fraco,3.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,1.0,True,True,True,False,False,False,False,False,True,False,False,False,True
Feminino,Entre 25 e 30,Desempregado(a),2º grau completo,Sim,Coado/ filtrado,Sim,5,Em casa,Varejo comum,Neutro,Moderadamente forte,Neutro,Neutro,Moderadamente forte,1.0,1.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,True,True,True,False,False,False,False,False,True,True,False,True,False
Masculino,Entre 25 e 30,Funcionário(a) de empresa privada,Superior Completo,Sim,Mocca,Não,1,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Neutro,Moderadamente forte,Neutro,1.0,1.0,4.0,2.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,True,True,True,False,False,False,False,False,True,False,False,False,False
Masculino,Entre 18 e 24,Estudante,Superior Incompleto,Sim,Cappuccino,Não,1,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Moderadamente forte,Moderadamente forte,Neutro,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,True,True,True,False,True,False,False,False,True,True,False,True,False
Masculino,Entre 31 e 40,Funcionário(a) de empresa privada,Pós-graduação completa,Sim,Café com leite,Sim,5,Em casa,Varejo especializado,Moderadamente forte,Moderadamente forte,Neutro,Moderadamente forte,Neutro,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,3.0,True,True,True,False,False,False,False,False,True,True,True,True,True
Feminino,Entre 31 e 40,Funcionário(a) de empresa privada,Superior Completo,Sim,Coado/ filtrado,Não,1,Em casa,Varejo especializado,Moderadamente forte,Moderadamente forte,Neutro,Neutro,Moderadamente forte,3.0,1.0,5.0,1.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,False,True,True,False,True,False,True,True,True,False,False,False,False
Feminino,Entre 18 e 24,Funcionário(a) de empresa privada,Superior Completo,Sim,Coado/ filtrado,Não,3,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Moderadamente forte,Moderadamente fraco,Muito fraco,2.0,1.0,4.0,2.0,2.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,True,True,True,True,True,False,False,False,True,False,False,False,False
Feminino,Entre 18 e 24,Funcionário(a) de empresa privada,Superior Incompleto,Sim,Coado/ filtrado,Não,Mais de 5,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Moderadamente forte,Moderadamente fraco,Moderadamente fraco,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,3.0,3.0,3.0,True,True,False,True,True,False,True,False,True,True,True,True,True
Feminino,Entre 25 e 30,Funcionário(a) de empresa privada,Pós-graduação completa,Sim,Coado/ filtrado,Não,3,Em casa,Varejo especializado,Moderadamente fraco,Moderadamente fraco,Neutro,Moderadamente fraco,Muito fraco,4.0,1.0,5.0,2.0,5.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,False,True,False,False,True,False,False,True,True,False,False,True,False
Masculino,Entre 25 e 30,Funcionário(a) de empresa privada,2º grau completo,Sim,Coado/ filtrado,Não,2,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Neutro,Neutro,Moderadamente fraco,2.0,1.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,False,True,True,False,False,False,True,False,True,False,False,True,False
Masculino,Entre 31 e 40,Funcionário(a) de empresa privada,Pós-graduação completa,Sim,Coado/ filtrado,Não,3,Em casa,Varejo comum,Moderadamente forte,Moderadamente forte,Neutro,Neutro,Moderadamente forte,2.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,5.0,3.0,1.0,3.0,False,True,True,False,True,False,False,False,True,True,True,True,False
